99,156,0.213483146,203
183,247,0.239700375,219
127,192,0.243445693,222
237,302,0.243445693,222
236,302,0.247191011,224
73,140,0.25093633,227
217,292,0.280898876,246
154,230,0.284644195,248
171,251,0.299625468,257
181,261,0.299625468,257
99,156,0.213483146,203
183,247,0.239700375,219
127,192,0.243445693,222
237,302,0.243445693,222
236,302,0.247191011,224
73,140,0.25093633,227
217,292,0.280898876,246
154,230,0.284644195,248
171,251,0.299625468,257
181,261,0.299625468,257
99,156,0.213483146,203
183,247,0.239700375,219
127,192,0.243445693,222
237,302,0.243445693,222
236,302,0.247191011,224
73,140,0.25093633,227
217,292,0.280898876,246
154,230,0.284644195,248
171,251,0.299625468,257
181,261,0.299625468,257
99,156,0.213483146,203
183,247,0.239700375,219
127,192,0.243445693,222
237,302,0.243445693,222
236,302,0.247191011,224
73,140,0.25093633,227
217,292,0.280898876,246
154,230,0.284644195,248
171,251,0.299625468,257
181,261,0.299625468,257
99,156,0.213483146,203
183,247,0.239700375,219
127,192,0.243445693,222
237,302,0.243445693,222
236,302,0.247191011,224
73,140,0.25093633,227
217,292,0.280898876,246
154,230,0.284644195,248
171,251,0.299625468,257
181,261,0.299625468,257
118,311,0.722846442,525
69,267,0.741573034,537
113,312,0.745318352,539
109,308,0.745318352,539
132,333,0.752808989,544
100,301,0.752808989,544
89,291,0.756554307,546
70,279,0.782771536,563
121,331,0.786516854,565
87,300,0.797752809,572
118,311,0.722846442,525
69,267,0.741573034,537
113,312,0.745318352,539
109,308,0.745318352,539
132,333,0.752808989,544
100,301,0.752808989,544
89,291,0.756554307,546
70,279,0.782771536,563
121,331,0.786516854,565
87,300,0.797752809,572
118,311,0.722846442,525
69,267,0.741573034,537
113,312,0.745318352,539
109,308,0.745318352,539
132,333,0.752808989,544
100,301,0.752808989,544
89,291,0.756554307,546
70,279,0.782771536,563
121,331,0.786516854,565
87,300,0.797752809,572
118,311,0.722846442,525
69,267,0.741573034,537
113,312,0.745318352,539
109,308,0.745318352,539
132,333,0.752808989,544
100,301,0.752808989,544
89,291,0.756554307,546
70,279,0.782771536,563
121,331,0.786516854,565
87,300,0.797752809,572
118,311,0.722846442,525
69,267,0.741573034,537
113,312,0.745318352,539
109,308,0.745318352,539
132,333,0.752808989,544
100,301,0.752808989,544
89,291,0.756554307,546
70,279,0.782771536,563
121,331,0.786516854,565
87,300,0.797752809,572
