68,333,0.992509363
121,121,0
145,290,0.543071161
121,121,0
68,333,0.992509363
145,290,0.543071161
68,333,0.992509363
145,290,0.543071161
121,121,0
68,333,0.992509363
121,121,0
145,290,0.543071161
68,333,0.992509363
145,290,0.543071161
121,121,0
68,333,0.992509363
121,121,0
145,290,0.543071161
121,121,0
68,333,0.992509363
145,290,0.543071161
68,333,0.992509363
121,121,0
68,333,0.992509363
145,290,0.543071161
121,121,0
68,333,0.992509363
145,290,0.543071161
121,121,0
145,290,0.543071161
